X-coordinate,Y-coordinate,Channel Gain,Time Delay,AoA_theta,AoA_phi,AoD_theta,AoD_phi,First X-coordinate,First y-coordinate,Last X-coordinate,Last y-coordinate
-1654.0,-1700.0,-112.192,9.16014e-07,86.0314,-66.9005,93.9686,-99.6098,-1639.58,-1733.8,-1639.58,-1733.8
-1652.0,-1700.0,-107.763,6.9244e-07,84.7468,75.4258,95.2532,-104.574,-1652.0,-1700.0,-1600.0,-1500.0
-1650.0,-1700.0,-108.327,6.94373e-07,84.7615,109.561,95.2385,-105.024,-1652.1,-1694.1,-1652.1,-1694.1
-1648.0,-1700.0,-108.316,6.96627e-07,84.7785,110.08,95.2215,-105.544,-1652.33,-1688.15,-1652.33,-1688.15
-1646.0,-1700.0,-119.301,9.06391e-07,94.4338,-68.4574,94.4338,-98.0528,-1632.97,-1733.01,-1641.26,-1712.0
-1644.0,-1700.0,-125.852,9.03485e-07,85.9762,-69.5032,94.0238,-97.7554,-1631.71,-1732.87,-1631.71,-1732.87
-1642.0,-1700.0,-136.104,1.38646e-06,89.9262,31.794,95.4535,-38.8354,-1458.56,-1613.86,-1640.55,-1699.1
-1640.0,-1700.0,-136.507,1.3808e-06,89.9265,32.0549,95.4523,-38.8354,-1458.56,-1613.86,-1638.09,-1698.8
-1638.0,-1700.0,-138.709,2.52343e-06,88.7541,168.307,91.5757,-101.361,-1687.47,-1935.34,-1641.68,-1699.24
-1636.0,-1700.0,-138.954,2.52997e-06,88.7616,168.337,91.5755,-101.392,-1687.72,-1935.35,-1640.43,-1699.09
-1634.0,-1700.0,-139.195,2.5365e-06,88.769,168.368,91.5753,-101.423,-1687.96,-1935.36,-1639.18,-1698.93
-1632.0,-1700.0,-119.939,6.78804e-07,84.641,81.5763,95.359,-99.1621,-1629.11,-1680.51,-1629.11,-1680.51
-1630.0,-1700.0,-108.281,6.81154e-07,84.6595,113.203,95.3405,-99.5401,-1632.59,-1693.95,-1632.59,-1693.95
-1628.0,-1700.0,-159.855,9.37986e-07,86.1245,-67.5428,93.8755,-92.901,-1612.09,-1738.5,-1612.09,-1738.5
-1626.0,-1700.0,-135.935,7.22102e-07,91.2261,114.897,96.3158,-110.309,-1652.68,-1642.35,-1641.4,-1666.83
-1624.0,-1700.0,-121.385,9.27226e-07,86.0794,-89.0448,93.9206,-95.6061,-1623.37,-1738.04,-1623.37,-1738.04
-1622.0,-1700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
