X-coordinate,Y-coordinate,Channel Gain,Time Delay,AoA_theta,AoA_phi,AoD_theta,AoD_phi,First X-coordinate,First y-coordinate,Last X-coordinate,Last y-coordinate
612.0,-222.0,-103.183,4.09209e-07,91.6274,95.6176,88.3726,-84.3824,612.0,-222.0,600.0,-100.0
614.0,-222.0,-103.198,4.09909e-07,91.589,96.5463,88.411,-83.4537,614.0,-222.0,600.0,-100.0
616.0,-222.0,-103.215,4.10716e-07,91.5504,97.4716,88.4496,-82.5284,616.0,-222.0,600.0,-100.0
618.0,-222.0,-103.234,4.1163e-07,91.5115,98.3929,88.4885,-81.6071,618.0,-222.0,600.0,-100.0
620.0,-222.0,-103.256,4.1265e-07,91.4724,99.3099,88.5276,-80.6901,620.0,-222.0,600.0,-100.0
622.0,-222.0,-103.28,4.13775e-07,91.4332,100.222,88.5668,-79.7778,622.0,-222.0,600.0,-100.0
624.0,-222.0,-103.305,4.15005e-07,91.3938,101.129,88.6062,-78.8708,624.0,-222.0,600.0,-100.0
626.0,-222.0,-103.333,4.16338e-07,91.3543,102.031,88.6457,-77.9694,626.0,-222.0,600.0,-100.0
628.0,-222.0,-103.363,4.17774e-07,91.3147,102.926,88.6853,-77.074,628.0,-222.0,600.0,-100.0
630.0,-222.0,-103.395,4.19311e-07,91.2751,103.815,88.7249,-76.185,630.0,-222.0,600.0,-100.0
632.0,-222.0,-103.429,4.20948e-07,91.2355,104.697,88.7645,-75.3027,632.0,-222.0,600.0,-100.0
634.0,-222.0,-103.465,4.22685e-07,91.1959,105.573,88.8041,-74.4275,634.0,-222.0,600.0,-100.0
636.0,-222.0,-103.503,4.24519e-07,91.1564,106.44,88.8436,-73.5596,636.0,-222.0,600.0,-100.0
638.0,-222.0,-103.542,4.26451e-07,91.1169,107.301,88.8831,-72.6995,638.0,-222.0,600.0,-100.0
640.0,-222.0,-103.583,4.28477e-07,91.0776,108.153,88.9224,-71.8473,640.0,-222.0,600.0,-100.0
642.0,-222.0,-103.626,4.30598e-07,91.0384,108.997,88.9616,-71.0033,642.0,-222.0,600.0,-100.0
644.0,-222.0,-103.671,4.32812e-07,90.9994,109.832,89.0006,-70.1679,644.0,-222.0,600.0,-100.0
646.0,-222.0,-112.872,9.65578e-07,90.4329,135.617,89.5671,171.254,506.675,-85.6421,506.675,-85.6421
648.0,-222.0,-112.829,9.70357e-07,90.4157,135.892,89.5843,170.978,506.888,-85.216,506.888,-85.216
650.0,-222.0,-112.805,9.75158e-07,90.3987,136.165,89.6013,170.705,507.099,-84.7954,507.099,-84.7954
652.0,-222.0,-112.796,9.79981e-07,90.3819,136.435,89.6181,170.435,507.306,-84.3802,507.306,-84.3802
654.0,-222.0,-112.801,9.84825e-07,90.3652,136.703,89.6348,170.167,507.511,-83.9701,507.511,-83.9701
656.0,-222.0,-112.817,9.89691e-07,90.3486,136.968,89.6514,169.902,507.714,-83.5653,507.714,-83.5653
658.0,-222.0,-112.844,9.94578e-07,90.3323,137.23,89.6677,169.64,507.913,-83.1655,507.913,-83.1655
660.0,-222.0,-112.881,9.99486e-07,90.316,137.49,89.684,169.38,508.111,-82.7707,508.111,-82.7707
662.0,-222.0,-112.927,1.00441e-06,90.3,137.747,89.7,169.123,508.306,-82.3807,508.306,-82.3807
664.0,-222.0,-112.98,1.00936e-06,90.2841,138.002,89.7159,168.868,508.498,-81.9956,508.498,-81.9956
666.0,-222.0,-113.042,1.01433e-06,90.2771,138.254,89.7229,168.616,508.689,-81.6151,508.689,-81.6151
